Feature,Category,Status,Agent,Priority,Effort,Description,Notes
AI Insight Cards,AI,LIVE,11,Medium,Done,InsightsCard in JournalScreen showing summary + mood trend + prompts,
Streak Celebration,Engagement,LIVE,12,Medium,Done,Animated overlay for milestone streaks,
Welcome Back Overlay,Engagement,LIVE,12,Nice-to-have,Done,Greets returning users who came from a notification,
Coach Marks,Engagement,LIVE,12,Medium,Done,"Single consolidated coach mark: 'Welcome to your diary. Swipe to browse tabs.'",Was 2 separate marks; consolidated
On This Day,Engagement,LIVE,12,Medium,Done,Shows past entries from today's date in previous years,
Diary Wrapped,Engagement,LIVE,12,High,Done,"Spotify Wrapped-style annual recap with statistics (paywalled)",
Year In Review,Export,LIVE,12,High,Done,"Book-style year summary with statistics (paywalled)",
Theme Evolution,Engagement,LIVE,12,Nice-to-have,Done,Visualization of design preferences over time,
Book Generator (PDF),Export,LIVE,12,Medium,Done,"Export entries as printable PDF/text book with metadata",
Share Entry as Image,Sharing,LIVE,12,Medium,Done,"ShareCardDialog generates shareable entry/streak images",
Contact Tagging,Sharing,LIVE,12,Nice-to-have,Done,"Mention friends in entries, stored as JSON array",
Firebase Auth,Auth,LIVE,12,Nice-to-have,Done,"Optional sign-up/sign-in, Google Sign-In support",
Firebase Analytics,Analytics,LIVE,12,Core,Done,Event tracking throughout the app,
In-App Review,Play Store,LIVE,12,Nice-to-have,Done,Google Play In-App Review API prompt,
In-App Update,Play Store,LIVE,12,Nice-to-have,Done,Google Play In-App Update API,
Store Listing Screenshots,Play Store,LIVE,12,Core,Done,"8 Compose-rendered screenshot frames for Play Store",Screenshot06_Moods was deleted
HorizontalPager Navigation,Navigation,LIVE,6,Core,Done,"4-page swipeable interface: Discover/Write/Journal/Settings",
Deep Linking,Navigation,LIVE,5,Core,Done,"Intent extras from notifications: destination, prompts, goal IDs",
Mood Tracking,Writing,KILLED,3,Was Core,-,"5 mood options (great/good/neutral/bad/terrible) with colored dots, mood selector in Write toolbar, mood trend chart, calendar coloring","KILLED Feb 11. Reason: simplified for v1 launch. 617 lines removed across 28 files."
Mood Trend Chart,Journal,KILLED,3,Was Medium,-,"Canvas-based 30-day line chart with bezier curves, color-coded mood dots",KILLED with Mood Tracking
Mood Screenshot (Store),Play Store,KILLED,12,Was Medium,-,"Screenshot06_Moods.kt showing mood patterns for Play Store listing",KILLED with Mood Tracking
Talk to Journal,AI,KILLED,12,Was High,-,"Full-screen AI chat with your journal. Animated messages, suggested question chips, multi-turn conversation",KILLED Feb 16. Lived ~3 days. 224+100 lines.
Go Deeper,AI,KILLED,12,Was Medium,-,"Per-entry AI reflection bottom sheet. Auto-started with 'Help me reflect deeper.' prompt",KILLED Feb 16. Lived ~3 days. 113+134 lines.
AI Chat Components,AI,KILLED,12,Was Medium,-,"Shared chat UI: message bubbles, typing indicator with animated dots, text input, auto-scroll",KILLED Feb 16. 350 lines.
AI Chat Service (Claude),AI,KILLED,12,Was Medium,-,"OkHttp-based Claude API client with 90s timeout. goDeeper() and talkToJournal() endpoints",KILLED Feb 16. Replaced by Gemini for insights only.
Reflection Prompts Sheet,AI,KILLED,12,Was Medium,-,"Time-of-day-aware reflection prompts (morning/afternoon/evening) as tappable cards in ModalBottomSheet",KILLED Feb 15. 162 lines.
Suggestions System (Full),AI,KILLED,11,Was High,-,"7 context-aware suggestion types (location/weather/streak/time/anniversary/mood/writing habit), bottom sheet with For You / Recent tabs, sparkle icon trigger","KILLED Feb 15-16. 806 lines across 7 files."
Day X Streak Label,Engagement,KILLED,-,Was Nice-to-have,-,"'Day 14' counter next to Write tab label in bottom nav","KILLED Feb 10. Simplified to just 'Write'."
User API Key Input,Settings,KILLED,-,Was Core,-,"Text field in Settings to paste personal AI API key",KILLED Feb 16. Build-time key replaced it.
Claude API Backend,AI,REPLACED,-,Was Core,-,Claude API for weekly insights and chat features,Replaced by Gemini Flash API (Feb 15)
Dual Coach Marks,Engagement,CONSOLIDATED,-,Was Nice-to-have,-,"Separate write hint + swipe hint coach marks",Merged into single coach mark (Feb 16)
Dark Mode for v1,Settings,DEFERRED,5,Medium,-,"Dark mode exists in code but was discussed as potentially removed for v1 simplicity",Still in codebase; may be removed pre-launch
Custom Templates,Writing,PARTIAL,8,Low,Small,"User can create own templates (entity supports it), but no dedicated UI for template creation","isBuiltIn field exists; creation flow not built"
Widget (Daily Wisdom),Engagement,PARTIAL,12,Low,Medium,"WriteWidgetProvider.kt and DailyWisdom.kt exist in codebase","May not be fully wired up"
